rep,start,end,peak_idx,peak_time,rms,mdf,env_peak,rep_duration,is_fatigued,file_id,rms_rel_base,rms_delta_base,mdf_rel_base,mdf_delta_base,env_peak_rel_base,env_peak_delta_base,rep_duration_rel_base,rep_duration_delta_base,rms_diff1,rms_roll3_mean,mdf_diff1,mdf_roll3_mean,env_peak_diff1,env_peak_roll3_mean,peak_time_diff1
1,0,7940,4794,2.397,1665.8860429980355,78.125,2059.3015491997767,7940,0,01-01,1.040910823883945,65.47416834667683,1.0714285714138774,5.208333333333329,0.929826746870856,-155.4137793590221,1.1455778386955495,1009.0,0.0,1665.8860429980355,0.0,78.125,0.0,2059.3015491997767,0.0
2,7940,14204,11087,5.5435,1467.8097450233447,78.125,2080.604610318887,6264,0,01-01,0.917144997653921,-132.60212962801393,1.0714285714138774,5.208333333333329,0.9394456179033527,-134.11071823991188,0.9037656903764386,-667.0,-198.07629797469076,1566.8478940106902,0.0,78.125,21.303061119110225,2069.9530797593316,3.1465
3,14204,20793,17322,8.661,1667.5398359326957,62.5,2504.2398261577323,6589,0,01-01,1.0419441784602597,67.1279612813371,0.8571428571311019,-10.416666666666671,1.1307276352244366,289.5244975989335,0.9506564709275789,-342.0,199.73009090935102,1600.4118746513586,-15.625,72.91666666666667,423.6352158388454,2214.715328558799,3.1174999999999997
4,20793,28804,24264,12.132,1440.8733899159174,97.65625,1949.559487636669,8011,0,01-01,0.9003141083472053,-159.53848473544122,1.3392857142673469,24.73958333333333,0.8802754297566734,-265.15584092212976,1.155821670754414,1080.0,-226.6664460167783,1525.4076569573192,35.15625,79.42708333333333,-554.6803385210633,2178.134641371096,3.471
5,28804,36300,33345,16.6725,1454.339704567291,111.328125,2128.166069680865,7496,0,01-01,0.908728388986243,-146.0721700840677,1.5267857142647754,38.41145833333333,0.9609208200427205,-86.54925887793388,1.0815178184964533,565.0,13.466314651373523,1520.9176434719682,13.671875,90.49479166666667,178.60658204419587,2193.988461158422,4.5405
6,36300,42884,39255,19.6275,1477.4981732312035,101.5625,2276.562506686403,6584,0,01-01,0.923198706927956,-122.91370142015512,1.3928571428380407,28.64583333333333,1.0279255655700106,61.847178127604366,0.9499350743037152,-347.0,23.158468663912572,1457.5704225714708,-9.765625,103.515625,148.39643700553825,2118.0960213346457,2.955000000000002
7,42884,49739,46514,23.257,1468.6929470439052,111.328125,2247.4948595174037,6855,0,01-01,0.9176968568562606,-131.71892760745345,1.5267857142647754,38.41145833333333,1.0148007875029794,32.77953095860494,0.9890347713171275,-76.0,-8.80522618729833,1466.8436082808,9.765625,108.07291666666667,-29.06764716899943,2217.4078119615574,3.6295
8,49739,56952,52964,26.482,1487.5789159947687,101.5625,2402.116668292869,7213,0,01-01,0.929497549696637,-112.83295865658988,1.3928571428380407,28.64583333333333,1.0846164458774639,187.40133973407,1.0406867695857682,282.0,18.88596895086357,1477.9233454232926,-9.765625,104.81770833333333,154.62180877546507,2308.724678165559,3.224999999999998
9,56952,63458,60940,30.47,1545.0572341794596,97.65625,2365.1100570378057,6506,0,01-01,0.9654122533395204,-55.354640471899074,1.3392857142673469,24.73958333333333,1.0679070246810487,150.39472847900697,0.9386812869714415,-425.0,57.478318184690806,1500.4430324060443,-3.90625,103.515625,-37.006611255063035,2338.240528282693,3.9879999999999995
10,63458,69338,65977,32.9885,1528.1996924575426,83.984375,2272.1228895380914,5880,0,01-01,0.9548790012505363,-72.21218219381603,1.1517857142699182,11.067708333333329,1.0259209661115336,57.40756097929261,0.8483624296637067,-1051.0,-16.85754172191696,1520.2786142105904,-13.671875,94.40104166666667,-92.98716749971436,2346.449871622922,2.518500000000003
